source_node,destination_node,jaccard_coefficient
297400,391225,1.0
208013,319075,1.0
292053,160406,1.0
423042,391057,1.0
352956,160406,1.0
129158,56640,1.0
310352,200511,1.0
425157,70355,1.0
255561,292840,1.0
131109,136924,1.0
311922,312455,1.0
207953,176073,1.0
72178,317619,1.0
55555,316184,1.0
395534,392811,1.0
372698,372699,1.0
2779,2396,1.0
72258,25462,1.0
312476,39300,1.0
44175,75294,1.0
44533,60270,1.0
387578,280218,1.0
158353,92710,1.0
234270,388859,1.0
62851,115783,1.0
368948,315374,1.0
276657,120541,1.0
30896,333225,1.0
124646,129004,1.0
381270,338868,1.0
68272,141631,1.0
357751,362108,1.0
71144,153904,1.0
265158,160054,1.0
138432,153904,1.0
29531,37006,1.0
422014,192633,1.0
227011,156283,1.0
197780,197777,1.0
29135,35632,1.0
318637,204524,1.0
223150,175383,1.0
77418,208624,1.0
131728,263080,1.0
297866,266537,1.0
42908,45622,1.0
421751,273987,1.0
48119,15382,1.0
276052,276053,1.0
210321,59244,1.0
64664,402188,1.0
129638,113299,1.0
95818,17972,1.0
257440,162354,1.0
218210,35408,1.0
211573,192681,1.0
73943,35905,1.0
176071,248494,1.0
136758,63066,1.0
118119,367902,1.0
236716,77894,1.0
194185,337063,1.0
144816,159253,1.0
330070,409481,1.0
108535,273230,1.0
173223,50584,1.0
92282,314012,1.0
274629,91497,1.0
281688,345254,1.0
362331,128830,1.0
186125,279604,1.0
227302,238880,1.0
56480,7132,1.0
203803,294177,1.0
25359,38904,1.0
353088,382385,1.0
126620,99574,1.0
214703,6396,1.0
136620,136621,1.0
119963,120610,1.0
25901,151906,1.0
190526,225230,1.0
209335,186357,1.0
110310,235002,1.0
137273,200301,1.0
262059,244784,1.0
235060,210156,1.0
212797,297946,1.0
243432,348058,1.0
47845,45622,1.0
314313,310424,1.0
160496,120564,1.0
302856,334259,1.0
196397,180505,1.0
376301,334259,1.0
280836,251282,1.0
366231,343228,1.0
375719,148324,1.0
286782,378462,1.0
93631,263635,1.0
